S.No,State/UT,Name,2019,2020,2021,midPopulation,RateofCrimeAgainstWomen,ChargesSheetingRate,Total 2019-2021 women
1,State,Andhra Pradesh,17746,17089,17752,264.2,67.2,93.5,52587
2,State,Arunachal Pradesh,317,281,366,7.5,49.1,77.6,964
3,State,Assam,30025,26352,29046,172.6,168.3,52.9,85423
4,State,Bihar,18587,15359,17950,593.7,30.2,69.4,51896
5,State,Chhattisgarh,7689,7385,7344,147.6,49.8,88.5,22418
6,State,Goa,329,219,224,7.7,28.9,77.4,772
7,State,Gujarat,8799,8028,7348,333.2,22.1,93.3,24175
8,State,Haryana,14683,13000,16658,139.2,119.7,57.1,44341
9,State,Himachal Pradesh,1636,1614,1599,36.5,43.8,76.5,4849
10,State,Jharkhand,8760,7630,8110,188.5,43,79.7,24500
11,State,Karnataka,13828,12680,14468,330,43.8,87.2,40976
12,State,Kerala,11462,10139,13539,184.7,73.3,94.6,35140
13,State,Madhya Pradesh,27560,25640,30673,410.8,74.7,83.7,83873
14,State,Maharashtra,37144,31954,39526,598.9,66,82.4,108624
15,State,Manipur,266,247,302,15.8,19.1,48.4,815
16,State,Meghalaya,558,568,685,16.4,41.7,76.1,1811
17,State,Mizoram,170,172,176,6,29.1,94.9,518
18,State,Nagaland,43,39,54,10.6,5.1,80.4,136
19,State,Odisha,23183,25489,31352,227.4,137.8,80.1,80024
20,State,Punjab,5886,4838,5662,144.3,39.2,75.3,16386
21,State,Rajasthan,41550,34535,40738,386.7,105.4,54.5,116823
22,State,Sikkim,125,140,130,3.2,40.6,98.3,395
23,State,Tamil Nadu,5934,6630,8501,382.8,22.2,87.5,21065
24,State,Telangana,18394,17791,20865,187.7,111.2,87.8,57050
25,State,Tripura,1070,874,807,20.1,40.2,84.7,2751
26,State,Uttar Pradesh,59853,49385,56083,1109.6,50.5,76.5,165321
27,State,Uttarakhand,2541,2846,3431,55.8,61.5,81.5,8818
28,State,West Bengal,29859,36439,35884,481.2,74.6,93.7,102182
29,UT,A&N Islands,135,143,169,1.9,89.4,97.1,447
30,UT,Chandigarh,515,301,343,5.6,61.7,51,1159
31,UT,D&N Haveli and Daman & Diu+,82,61,99,3.9,25.3,74,242
32,UT,Delhi,13395,10093,14277,96.7,147.6,71.2,37765
33,UT,Jammu & Kashmir,3069,3405,3937,64,61.6,72.5,10411
34,UT,Ladakh,-,9,18,1.3,13.8,85.7,27
35,UT,Lakshadweep,38,15,9,0.3,27.3,80,62
36,UT,Puducherry,95,113,153,8.3,18.5,97.6,361
