S.No,State/UT,Name,2019,2020,2021,midPopulation,RateofKidnappingAbduction,ChargesSheetingRate,Total Kidnap
1,State,Andhra Pradesh,902,737,835,528.5,1.6,71.8,2474
2,State,Arunachal Pradesh,117,78,85,15.4,5.5,37.3,280
3,State,Assam,9432,6934,7580,351.6,21.6,30.3,23946
4,State,Bihar,10707,7889,10198,1237,8.2,53.8,28794
5,State,Chhattisgarh,2638,2008,2681,296.1,9.1,36.7,7327
6,State,Goa,71,45,52,15.6,3.3,32.7,168
7,State,Gujarat,1813,1198,1621,700.8,2.3,52.4,4632
8,State,Haryana,4023,2949,3554,296,12,18,10526
9,State,Himachal Pradesh,455,343,430,74.1,5.8,20.4,1228
10,State,Jharkhand,1814,1564,1767,386.4,4.6,69.6,5145
11,State,Karnataka,3080,2253,2879,669.9,4.3,10.3,8212
12,State,Kerala,386,307,364,355.4,1,92.8,1057
13,State,Madhya Pradesh,9812,7320,9511,848.6,11.2,27,26643
14,State,Maharashtra,11755,8103,10502,1247.6,8.4,23.7,30360
15,State,Manipur,129,81,85,31.7,2.7,15.2,295
16,State,Meghalaya,130,91,123,33,3.7,34.3,344
17,State,Mizoram,5,3,2,12.2,0.2,50,10
18,State,Nagaland,64,24,48,22,2.2,55.8,136
19,State,Odisha,4748,4179,5625,457.9,12.3,30.4,14552
20,State,Punjab,1798,1399,1787,304,5.9,51,4984
21,State,Rajasthan,8058,6234,7717,795.7,9.7,32.9,22009
22,State,Sikkim,51,32,39,6.8,5.8,17.9,122
23,State,Tamil Nadu,898,765,821,764.8,1.1,27.1,2484
24,State,Telangana,2127,2056,2760,377.7,7.3,35.8,6943
25,State,Tripura,166,127,136,40.8,3.3,66.5,429
26,State,Uttar Pradesh,16590,12913,14554,2317,6.3,43.7,44057
27,State,Uttarakhand,967,768,819,114.4,7.2,26,2554
28,State,West Bengal,5190,9309,8339,982.9,8.5,70.8,22838
29,UT,A&N Islands,27,7,7,4,1.7,14.3,41
30,UT,Chandigarh,177,118,154,12.1,12.7,8.4,449
31,UT,D&N Haveli and Daman & Diu+,35,21,48,11.1,4.3,5.8,104
32,UT,Delhi,5901,4062,5527,207,26.7,8.2,15490
33,UT,Jammu & Kashmir,961,868,1013,134.4,7.5,33.6,2842
34,UT,Ladakh,-,0,4,3,1.3,25,4
35,UT,Lakshadweep,0,1,0,0.7,0,0,1
36,UT,Puducherry,9,19,40,15.8,2.5,26.9,68
